Day fraction since midnight on 	photometer (mg/L)	photometer (volts)	Source pressure (Pa)
0.594138634	10.92963219	0.570353687	104142.75
0.594196517	10.93380833	0.569454074	104142.75
0.594254391	10.92699337	0.570922256	104142.75
0.594312263	10.9559164	0.564699471	104142.75
0.594370198	10.83946323	0.589880765	104142.75
0.594427986	10.90301323	0.57609731	104142.75
0.594485907	10.81817436	0.594520509	104142.75
0.594543713	10.91934776	0.572570562	104142.75
0.594601554	10.85326862	0.586877823	104142.75
0.594659448	10.79953957	0.598591328	104142.75
0.594717362	10.7740078	0.604182839	104142.75
0.594775246	10.78235149	0.602353871	104142.75
0.594833111	10.74061489	0.611520946	104142.75
0.59489101	10.74786472	0.609925449	104142.75
0.594948803	10.7271471	0.614488363	104142.75
0.595006741	10.83751011	0.590305924	104142.75
0.595064539	10.84449482	0.588785768	104142.75
0.595122424	10.71768475	0.616575956	104142.75
0.59518028	10.75548744	0.608249128	104142.75
0.595238116	10.68753147	0.623243868	104142.75
0.595296102	10.7977972	0.598972499	104142.75
0.595353954	10.91662121	0.57315886	104142.75
0.595411722	10.91445827	0.573625505	104142.75
0.595469673	10.79826641	0.598869801	104142.75
0.595527452	10.99157906	0.557054937	104142.75
0.595585367	10.95042133	0.56588006	104142.75
0.595643251	10.86004162	0.585406303	104142.75
0.595701085	10.83942986	0.589888036	104142.75
0.595759003	10.95604706	0.564671338	104142.75
0.595816871	10.86033821	0.585341871	104142.75
0.595874716	10.93969631	0.5681867	104142.75
0.595932567	10.97094727	0.561473608	104142.75
0.595990478	10.82499409	0.593032956	104142.75
0.596048289	10.8562088	0.58623898	104142.75
0.596106233	10.82064343	0.593981803	104142.75
0.596164095	10.9615078	0.563498795	104142.75
0.596221999	10.88569832	0.579842746	104142.75
0.596279858	10.82705784	0.592582941	104142.75
0.596337707	10.94456673	0.567138791	104142.75
0.596395606	10.95548153	0.564792752	104142.75
0.596453446	10.83967018	0.589835525	104142.75
0.596511334	10.75136566	0.609155417	104142.75
0.596569204	10.70271587	0.619883239	104142.75
0.596627091	10.75762749	0.607778966	104142.75
0.596684966	10.59558296	0.643719554	104142.75
0.59674276	10.64262772	0.633216143	104142.75
0.596800721	10.66749382	0.627687573	104142.75
0.596858506	10.49373817	0.666652501	104142.75
0.596916386	10.42733669	0.681749642	104142.75
0.596974311	10.45962524	0.67439425	104142.75
0.597032172	10.42836475	0.681515217	104142.75
0.597090015	10.56065845	0.651553512	104142.75
0.597147865	10.46417618	0.673359692	104142.75
0.597205716	10.57756615	0.647756875	104142.75
0.597263675	10.62823009	0.636424542	104142.75
0.597321517	10.53619003	0.657060862	104142.75
0.597379336	10.50928211	0.663135052	104142.75
0.597437224	10.6639595	0.628472269	104142.75
0.597495071	10.59856987	0.643051028	104142.75
0.59755297	10.61179829	0.640092731	104142.75
0.597610865	10.58475399	0.646145165	104142.75
0.597668675	10.5347929	0.657375813	104142.75
0.597722138	10.46697617	0.672723472	104142.75
0.597784485	10.41748238	0.684000015	104142.75
0.597842349	10.41794682	0.683893919	104142.75
0.597900255	10.46806049	0.672477007	104142.75
0.597958135	10.3904829	0.690178692	104142.75
0.598015897	10.37997246	0.692588985	104142.75
0.598073789	10.43266773	0.680533409	104142.75
0.598131686	10.57427692	0.648494899	104142.75
0.598189602	10.83969116	0.589830995	104142.75
0.598247376	10.72026062	0.616007507	104142.75
0.598305287	10.77847576	0.603203297	104142.75
0.598363192	10.67478657	0.626069069	104142.75
0.598421056	10.63844109	0.634148657	104142.75
0.598478966	10.63683701	0.634506106	104142.75
0.598536732	10.66975021	0.627186656	104142.75
0.598594697	10.70999813	0.618273497	104142.75
0.598652504	10.63728714	0.634405732	104142.75
0.598710394	10.67997074	0.624919355	104142.75
0.598768289	10.61384583	0.639635265	104142.75
0.598826104	10.64034462	0.63372463	104142.75
0.598884023	10.65819836	0.629752338	104142.75
0.59894183	4.039659977	2.8326478	104142.75
0.59899975	3.888325691	2.905179262	104142.75
0.599057608	3.917827129	2.890940666	104142.75
0.599115457	4.13607502	2.787090778	104142.75
0.599173408	4.14733696	2.781802177	104142.75
0.599231278	3.986698389	2.857887983	104142.75
0.599289107	4.025896549	2.83919239	104142.75
0.599346993	3.739422798	2.977785826	104142.75
0.599404784	4.029085636	2.837674856	104142.75
0.599462646	4.250321388	2.733756781	104142.75
0.599520561	4.484438419	2.626624584	104142.75
0.599578386	4.524799824	2.608444452	104142.75
0.599636276	4.60552454	2.572335005	104142.75
0.599694182	4.189619541	2.762007237	104142.75
0.599752081	3.877211571	2.91055584	104142.75
0.599809938	3.965776205	2.867901325	104142.75
0.599867742	3.012098551	3.350831986	104142.75
0.599925657	2.987889528	3.363792419	104142.75
0.599983586	2.980271101	3.367878437	104142.75
0.600041363	2.982838392	3.366501093	104142.75
0.600099257	2.985976458	3.364818096	104142.75
0.600157124	2.9829669	3.36643219	104142.75
0.600214996	2.989509821	3.362923861	104142.75
0.600272881	2.986664295	3.364449263	104142.75
