time (s)	time(hydraulic residence times)	pH probe (pH)	ANC_out	C_T	[H^+] concentration (M)	alpha 2	ANC_out closed	alpha 0	alpha 1	ANC_out open
925	1.112715025	3.92848444	-6.65902E-05	0.000604744	0.0001179	1.7994E-09	-0.000115341	0.995767057	0.004232941	-0.000117858
926	1.11391796	3.794734478	-6.77124E-05	0.000604017	0.000160423	9.73003E-10	-0.000158541	0.99688556	0.003114439	-0.000160391
927	1.115120895	3.839718103	-6.88332E-05	0.000603291	0.000144638	1.19656E-09	-0.000142555	0.996546846	0.003453153	-0.000144603
928	1.11632383	3.794776917	-6.99526E-05	0.000602566	0.000160407	9.73193E-10	-0.00015853	0.996885257	0.003114742	-0.000160376
929	1.117526765	3.819216728	-7.10708E-05	0.000601841	0.000151629	1.08893E-09	-0.000149647	0.996705544	0.003294455	-0.000151596
930	1.1187297	3.82449317	-7.21875E-05	0.000601118	0.000149798	1.11567E-09	-0.000147794	0.996665408	0.003334591	-0.000149765
931	1.119932636	3.827672243	-7.3303E-05	0.000600395	0.000148706	1.1321E-09	-0.000146689	0.996640991	0.003359008	-0.000148672
932	1.121135571	3.810763836	-7.4417E-05	0.000599673	0.000154609	1.04742E-09	-0.000152672	0.99676884	0.003231159	-0.000154577
933	1.122338506	3.906438112	-7.55298E-05	0.000598953	0.00012404	1.62602E-09	-0.00012163	0.995975731	0.004024268	-0.000124
934	1.123541441	3.961620331	-7.66412E-05	0.000598232	0.000109239	2.09533E-09	-0.000106507	0.995432984	0.004567014	-0.000109194
935	1.124744376	3.88069129	-7.77513E-05	0.000597513	0.000131616	1.44455E-09	-0.000129349	0.996206494	0.003793505	-0.000131578
936	1.125947311	3.891655684	-7.886E-05	0.000596795	0.000128335	1.51921E-09	-0.000126013	0.996109879	0.003890119	-0.000128296
937	1.127150247	3.831650496	-7.99674E-05	0.000596077	0.00014735	1.15299E-09	-0.000145329	0.996610185	0.003389814	-0.000147316
938	1.128353182	3.876766205	-8.10735E-05	0.000595361	0.000132811	1.41872E-09	-0.000130573	0.996240496	0.003759503	-0.000132773
939	1.129556117	3.861840725	-8.21782E-05	0.000594645	0.000137455	1.32465E-09	-0.000135294	0.996367043	0.003632956	-0.000137418
940	1.130759052	3.810842514	-8.32817E-05	0.00059393	0.000154581	1.0478E-09	-0.000152662	0.996768257	0.003231742	-0.000154549
941	1.131961987	3.7939713	-8.43837E-05	0.000593216	0.000160705	9.69595E-10	-0.00015886	0.996891011	0.003108988	-0.000160673
942	1.133164922	3.88757062	-8.54845E-05	0.000592503	0.000129548	1.49095E-09	-0.000127264	0.996146158	0.00385384	-0.000129509
943	1.134367858	3.828574419	-8.65839E-05	0.000591791	0.000148397	1.1368E-09	-0.000146405	0.99663403	0.003365969	-0.000148363
944	1.135570793	3.833530903	-8.76821E-05	0.000591079	0.000146713	1.163E-09	-0.000144701	0.996595526	0.003404473	-0.000146679
945	1.136773728	3.853614569	-8.87789E-05	0.000590369	0.000140083	1.27549E-09	-0.000137978	0.996434966	0.003565033	-0.000140047
946	1.137976663	3.865172625	-8.98743E-05	0.000589659	0.000136404	1.34509E-09	-0.000134245	0.996339166	0.003660832	-0.000136367
947	1.139179598	3.859574556	-9.09685E-05	0.00058895	0.000138174	1.31092E-09	-0.000136045	0.996385882	0.003614116	-0.000138137
948	1.140382533	3.841701746	-9.20614E-05	0.000588242	0.000143979	1.20752E-09	-0.000141938	0.996531092	0.003468907	-0.000143944
949	1.141585469	3.785389185	-9.31529E-05	0.000587535	0.000163912	9.32078E-10	-0.000162121	0.99695166	0.003048339	-0.000163881
950	1.142788404	3.783875465	-9.42431E-05	0.000586828	0.000164484	9.25613E-10	-0.000162702	0.996962234	0.003037765	-0.000164454
951	1.143991339	3.804035425	-9.5332E-05	0.000586123	0.000157023	1.01552E-09	-0.000155159	0.996818356	0.003181643	-0.000156991
952	1.145194274	3.808863401	-9.64196E-05	0.000585418	0.000155288	1.03831E-09	-0.000153404	0.996782903	0.003217096	-0.000155255
953	1.146397209	3.808577299	-9.75059E-05	0.000584714	0.00015539	1.03695E-09	-0.00015351	0.996785015	0.003214984	-0.000155358
954	1.147600144	3.808128357	-9.85909E-05	0.000584012	0.000155551	1.03481E-09	-0.000153675	0.996788326	0.003211673	-0.000155518
955	1.14880308	3.82053113	-9.96746E-05	0.000583309	0.000151171	1.09553E-09	-0.000149244	0.996695591	0.003304408	-0.000151138
956	1.150006015	3.837074041	-0.000100757	0.000582608	0.000145521	1.1821E-09	-0.000143521	0.996567733	0.003432265	-0.000145487
957	1.15120895	3.800554991	-0.000101838	0.000581908	0.000158287	9.99395E-10	-0.00015645	0.996843672	0.003156327	-0.000158255
958	1.152411885	3.823766232	-0.000102918	0.000581208	0.000150049	1.11195E-09	-0.000148114	0.996670966	0.003329033	-0.000150016
959	1.15361482	3.79078126	-0.000103996	0.000580509	0.00016189	9.55477E-10	-0.000160098	0.996913694	0.003086305	-0.000161859
960	1.154817755	3.872676849	-0.000105074	0.000579812	0.000134067	1.3923E-09	-0.000131908	0.996275598	0.0037244	-0.00013403
961	1.15602069	3.848490715	-0.000106149	0.000579114	0.000141746	1.2458E-09	-0.000139705	0.996476632	0.003523367	-0.00014171
962	1.157223626	3.826043367	-0.000107224	0.000578418	0.000149265	1.12365E-09	-0.000147329	0.996653524	0.003346475	-0.000149231
963	1.158426561	3.810059309	-0.000108297	0.000577723	0.000154861	1.04404E-09	-0.000152997	0.996774061	0.003225938	-0.000154828
964	1.159629496	3.846362829	-0.000109369	0.000577028	0.000142442	1.23367E-09	-0.000140418	0.996493793	0.003506206	-0.000142406
965	1.160832431	3.811095476	-0.00011044	0.000576335	0.000154491	1.04902E-09	-0.000152628	0.99676638	0.003233619	-0.000154459
966	1.162035366	3.76954484	-0.000111509	0.000575642	0.000170002	8.66585E-10	-0.00016831	0.997060547	0.002939452	-0.000169973
967	1.163238301	3.778666258	-0.000112578	0.00057495	0.000166469	9.03706E-10	-0.000164743	0.996998345	0.003001654	-0.000166439
968	1.164441237	3.801026344	-0.000113645	0.000574258	0.000158115	1.00156E-09	-0.000156301	0.996840255	0.003159744	-0.000158083
969	1.165644172	3.825702906	-0.00011471	0.000573568	0.000149382	1.12189E-09	-0.000147464	0.996656138	0.003343861	-0.000149348
970	1.166847107	3.824213266	-0.000115774	0.000572879	0.000149895	1.11424E-09	-0.000147986	0.996667549	0.00333245	-0.000149861
971	1.168050042	3.737758398	-0.000116837	0.00057219	0.000182912	7.48736E-10	-0.000181348	0.997267437	0.002732562	-0.000182884
972	1.169252977	3.778018475	-0.000117899	0.000571502	0.000166718	9.01018E-10	-0.000165005	0.997002805	0.002997194	-0.000166688
973	1.170455912	3.862229824	-0.00011896	0.000570815	0.000137332	1.32702E-09	-0.000135256	0.996363799	0.0036362	-0.000137295
974	1.171658848	3.811726093	-0.000120019	0.000570129	0.000154267	1.05207E-09	-0.000152421	0.996761696	0.003238303	-0.000154235
975	1.172861783	3.782800198	-0.000121077	0.000569443	0.000164892	9.21048E-10	-0.000163166	0.996969723	0.003030276	-0.000164862
976	1.174064718	3.770602226	-0.000122133	0.000568759	0.000169589	8.70809E-10	-0.000167913	0.997053403	0.002946596	-0.000169559
977	1.175267653	3.754364967	-0.000123189	0.000568075	0.00017605	8.08156E-10	-0.000174437	0.997161228	0.002838771	-0.000176021
978	1.176470588	3.798142195	-0.000124243	0.000567392	0.000159169	9.88369E-10	-0.000157388	0.996861104	0.003138895	-0.000159137
979	1.177673523	3.775763989	-0.000125296	0.00056671	0.000167585	8.91725E-10	-0.000165896	0.997018277	0.002981722	-0.000167555
980	1.178876459	3.753340483	-0.000126347	0.000566028	0.000176465	8.04358E-10	-0.000174862	0.997167898	0.002832101	-0.000176437
981	1.180079394	3.754508734	-0.000127398	0.000565348	0.000175991	8.08691E-10	-0.000174386	0.997160291	0.002839708	-0.000175963
982	1.181282329	3.747657538	-0.000128447	0.000564668	0.00017879	7.83609E-10	-0.000177211	0.997204613	0.002795386	-0.000178762
983	1.182485264	3.759352684	-0.000129495	0.000563989	0.000174039	8.26907E-10	-0.00017242	0.997128532	0.002871467	-0.00017401
984	1.183688199	3.729997158	-0.000130541	0.000563311	0.00018621	7.22482E-10	-0.000184698	0.997315707	0.002684292	-0.000186183
985	1.184891134	3.763945103	-0.000131586	0.000562634	0.000172209	8.44555E-10	-0.000170576	0.997098096	0.002901904	-0.000172179
986	1.18609407	3.757421732	-0.00013263	0.000561958	0.000174815	8.19597E-10	-0.000173208	0.997141235	0.002858765	-0.000174786
987	1.187297005	3.768734217	-0.000133673	0.000561282	0.00017032	8.63361E-10	-0.000168673	0.997066013	0.002933987	-0.000170291
988	1.18849994	3.719768286	-0.000134715	0.000560607	0.000190648	6.89281E-10	-0.000189178	0.997378027	0.002621972	-0.000190621
989	1.189702875	3.722181797	-0.000135755	0.000559933	0.000189591	6.96975E-10	-0.000188115	0.997363454	0.002636545	-0.000189565
990	1.19090581	3.756451845	-0.000136794	0.00055926	0.000175206	8.15949E-10	-0.00017361	0.997147594	0.002852406	-0.000175177
991	1.192108745	3.853613615	-0.000137832	0.000558588	0.000140083	1.27549E-09	-0.000138092	0.996434974	0.003565025	-0.000140047
992	1.193311681	3.804218054	-0.000138868	0.000557916	0.000156957	1.01637E-09	-0.000155182	0.996817022	0.003182977	-0.000156925
993	1.194514616	3.700958252	-0.000139903	0.000557246	0.000199086	6.32156E-10	-0.000197687	0.997488886	0.002511113	-0.000199061
994	1.195717551	3.738358259	-0.000140937	0.000556576	0.000182659	7.50804E-10	-0.000181136	0.997263671	0.002736329	-0.000182632
995	1.196920486	3.824449301	-0.00014197	0.000555907	0.000149813	1.11544E-09	-0.00014796	0.996665744	0.003334255	-0.00014978
996	1.198123421	3.81331563	-0.000143002	0.000555238	0.000153704	1.05978E-09	-0.000151899	0.996749861	0.003250138	-0.000153671
997	1.199326356	3.745151997	-0.000144032	0.000554571	0.000179824	7.74632E-10	-0.000178283	0.997220649	0.00277935	-0.000179796
998	1.200529291	3.709612131	-0.000145061	0.000553904	0.000195159	6.57825E-10	-0.00019374	0.997438476	0.002561523	-0.000195133
999	1.201732227	3.795089245	-0.000146089	0.000553238	0.000160292	9.74592E-10	-0.000158567	0.996883023	0.003116976	-0.00016026
1000	1.202935162	3.762383699	-0.000147115	0.000552573	0.000172829	8.38513E-10	-0.000171231	0.99710848	0.002891519	-0.0001728
1001	1.204138097	3.756254673	-0.000148141	0.000551909	0.000175285	8.1521E-10	-0.000173712	0.997148885	0.002851115	-0.000175257
1002	1.205341032	3.736309052	-0.000149165	0.000551245	0.000183523	7.43762E-10	-0.000182022	0.997276516	0.002723483	-0.000183496
