Day fraction since midnight on 	photometer (mg/L)	photometer (volts)	Source pressure (Pa)
0.607969683	6.959578037	1.653872967	104142.75
0.608027441	6.874988556	1.682757974	104142.75
0.608085438	6.814960957	1.703426719	104142.75
0.608143246	6.815677166	1.703179121	104142.75
0.608201071	6.758404732	1.723030806	104142.75
0.608259024	7.007816315	1.637526035	104142.75
0.608316813	6.976233006	1.648218751	104142.75
0.608374765	6.896045685	1.675541282	104142.75
0.608432656	6.846583366	1.692520738	104142.75
0.608490424	6.731215954	1.732500672	104142.75
0.608548392	6.671015263	1.753574014	104142.75
0.608606263	6.685092926	1.748633027	104142.75
0.608664107	6.779252529	1.715789437	104142.75
0.608721947	6.71657896	1.737610936	104142.75
0.608779868	6.7727561	1.718044043	104142.75
0.608837737	6.698840618	1.743815541	104142.75
0.608895609	6.694775105	1.745239377	104142.75
0.60895339	6.589012146	1.782514572	104142.75
0.609011319	6.455643177	1.830169082	104142.75
0.609069202	6.470012188	1.82499969	104142.75
0.609127009	6.483280659	1.820233941	104142.75
0.609184908	6.356273651	1.866152406	104142.75
0.609242797	6.237129688	1.909841061	104142.75
0.609300655	6.192222118	1.926463723	104142.75
0.609358576	6.069881916	1.972185612	104142.75
0.609416388	6.069188118	1.97244668	104142.75
0.609474206	6.056723595	1.977141619	104142.75
0.60953217	5.980900765	2.005846024	104142.75
0.609589992	5.951873779	2.016901016	104142.75
0.609647917	5.880321026	2.044310093	104142.75
0.609705739	5.884653091	2.042644262	104142.75
0.609763679	5.768104553	2.087751865	104142.75
0.609821535	5.720425606	2.106379509	104142.75
0.609879349	5.755941391	2.092494249	104142.75
0.609937288	5.773033619	2.085831881	104142.75
0.609995069	5.722235203	2.105670691	104142.75
0.610052908	5.653122425	2.132848501	104142.75
0.6101109	5.597895622	2.15472126	104142.75
0.610168693	5.558068752	2.170581102	104142.75
0.610226592	5.557594299	2.170770407	104142.75
0.610284411	5.527284145	2.182889938	104142.75
0.610342373	5.573070526	2.164598465	104142.75
0.610400181	5.522622109	2.18475771	104142.75
0.610458012	5.478614807	2.202438593	104142.75
0.610515912	5.374595642	2.244587421	104142.75
0.6105738	5.32320261	2.265598536	104142.75
0.610631718	5.299192429	2.275457144	104142.75
0.610689531	5.199903488	2.316515207	104142.75
0.610747339	5.214677811	2.310376167	104142.75
0.610805321	5.202388763	2.315481901	104142.75
0.61086321	5.151474476	2.336712122	104142.75
0.610921026	5.137415886	2.342596293	104142.75
0.610978828	5.140367508	2.341360092	0
0.611036736	5.106380463	2.355619431	104142.75
0.611094664	5.074977875	2.368844032	104142.75
0.611152522	5.02546978	2.389790297	104142.75
0.61121039	5.198464871	2.317113638	104142.75
0.611268218	4.904143333	2.441628456	104142.75
0.611326125	4.953129768	2.42061162	104142.75
0.611373957	5.041508675	2.382991314	104142.75
0.611441922	5.062116146	2.374274254	104142.75
0.611499767	5.050137043	2.37933898	104142.75
0.611557649	4.934529305	2.4285779	104142.75
0.611615499	4.93314743	2.42917037	104142.75
0.611673346	5.018563747	2.392721653	104142.75
0.611731263	5.042196751	2.382699966	104142.75
0.611789124	5.027576923	2.388896465	104142.75
0.611847013	4.956169128	2.419311523	104142.75
0.611904763	4.946486473	2.423454762	104142.75
0.611962673	4.914682388	2.437096834	104142.75
0.612020575	4.842446327	2.468267441	104142.75
0.61207842	4.799098015	2.487097263	104142.75
0.612136376	4.765277386	2.501853466	104142.75
0.612194147	4.7093153	2.526396513	104142.75
0.612252082	4.698038101	2.531361342	104142.75
0.61230081	4.657764435	2.549144745	104142.75
0.612367749	4.595860481	2.576640129	104142.75
0.612425658	4.595327854	2.576877594	104142.75
0.612483527	4.537129402	2.602907658	104142.75
0.612541392	4.481796742	2.627817631	104142.75
0.612599239	4.535252094	2.603750229	104142.75
0.612657174	4.490025997	2.624102831	104142.75
0.612715023	4.492753029	2.622872591	104142.75
0.612772837	4.460327625	2.63752532	104142.75
0.612830781	4.441462994	2.646075249	104142.75
0.612888619	4.429939747	2.651306868	104142.75
0.612946462	4.417327881	2.657040834	104142.75
0.613004298	4.392226219	2.668477774	104142.75
0.613062206	4.377463818	2.675219297	104142.75
0.613120116	4.359584332	2.683399677	104142.75
0.613177989	4.30618	2.707933903	104142.75
0.61323584	4.292802811	2.714102984	104142.75
0.613293678	4.306973457	2.707568169	104142.75
0.61335156	4.264140606	2.727352858	104142.75
0.613409472	4.260047913	2.729248524	104142.75
0.613467303	4.253540993	2.732264042	104142.75
0.613525217	4.245595455	2.735949278	104142.75
0.613583028	4.265923023	2.726527691	104142.75
0.613640918	4.226359844	2.744884968	104142.75
0.613698796	4.232343197	2.742103338	104142.75
0.613756639	4.256434441	2.730922699	104142.75
0.613814523	4.234659195	2.741027117	104142.75
0.613872446	4.258982182	2.729742289	104142.75
0.613930322	4.238646507	2.739175081	104142.75
0.613988196	4.193327904	2.760275841	104142.75
0.614045997	4.191195965	2.761271238	104142.75
0.614103844	4.180584908	2.766228914	104142.75
0.614161763	4.188060284	2.762735605	104142.75
0.614219665	4.219760418	2.747955322	104142.75
0.614277472	4.195581436	2.759223938	104142.75
0.614335396	4.180968285	2.766049624	104142.75
0.614393239	4.18533802	2.76400733	104142.75
0.614451187	4.168575287	2.771847248	104142.75
0.614508986	4.161821842	2.775010109	104142.75
0.614566918	4.181767941	2.765675783	104142.75
0.614624739	4.201210022	2.756597996	104142.75
0.614682647	4.175158978	2.768766403	104142.75
0.614740428	4.189707279	2.761966467	104142.75
0.614798382	4.190196991	2.761737585	104142.75
0.614856165	4.215293407	2.750034809	104142.75
0.614914051	4.209326744	2.752814055	104142.75
0.614971998	4.19548893	2.759267092	104142.75
0.615029864	4.190803528	2.761454344	104142.75
0.615087719	4.190506935	2.761592865	104142.75
0.615145593	4.157414913	2.777075291	104142.75
0.61520338	4.152843475	2.779218912	104142.75
0.615261345	4.179871082	2.7665627	104142.75
0.615319144	4.179389	2.766788006	104142.75
0.615377009	4.16054821	2.775606871	104142.75
0.615434962	4.181138992	2.765969753	104142.75
0.615492787	4.187779903	2.762866497	104142.75
0.615550616	4.184333324	2.764476776	104142.75
0.615608478	4.182623386	2.765275955	104142.75
0.61566644	4.204107285	2.755246878	104142.75
0.615724279	4.185312271	2.764019489	104142.75
0.615782184	4.1730299	2.769762516	104142.75
0.61583462	4.185786724	2.76379776	104142.75
0.615897893	4.166810513	2.772673607	104142.75
0.615955788	4.182918549	2.765138149	104142.75
0.616013602	4.196423531	2.758831024	104142.75
0.61607153	4.196575165	2.758760214	104142.75
0.616129384	4.238350391	2.739312649	104142.75
0.616187239	4.227471352	2.744368076	104142.75
0.616245138	4.225467205	2.745300055	104142.75
