Day fraction since midnight on 	t*	photometer (volts)	photometer (mg/L)	Source pressure (Pa)	
0.637720616	3.14E+00	2.863524675	3.974914789	106576.5234	
0.637778478	3.15E+00	3.048454285	3.596898317	106561.9531	
0.637836405	3.16E+00	3.034795761	3.624263763	106569.0391	
0.637894234	3.18E+00	3.039193869	3.615442514	106571.2813	
0.637952093	3.19E+00	3.045126677	3.603557348	106581.4766	
0.638009997	3.20E+00	3.06340456	3.567043066	106560.0078	
0.638067898	3.21E+00	3.068229914	3.557428837	106576.2266	
0.638125802	3.23E+00	3.08378768	3.526502848	106556.625	
0.638183654	3.24E+00	3.099080324	3.496210337	106541.1094	
0.638241527	3.25E+00	3.115665197	3.463476896	106535.0313	
0.638299406	3.27E+00	3.12774086	3.439720392	106545.5781	
0.638357307	3.28E+00	3.138984203	3.417659283	106558.1406	
0.638415161	3.29E+00	3.144924641	3.406025887	106536.4531	
0.638473	3.30E+00	3.161283493	3.374069452	106511.5	
0.638530864	3.32E+00	3.168768644	3.35948658	106536.3984	
0.638588781	3.33E+00	3.183817148	3.330242157	106525.6016	
0.638646528	3.34E+00	3.19945693	3.299952269	106535.5703	
0.63870442	3.35E+00	3.202786923	3.293516636	106538.1563	
0.638762254	3.37E+00	3.202400446	3.294263125	106517.6641	
0.638820212	3.38E+00	3.195250273	3.308089018	106509.4063	
0.638878073	3.39E+00	3.207059383	3.285266399	106500.8984	
0.638935992	3.40E+00	3.210692406	3.278257132	106516.5078	
0.638993763	3.42E+00	3.226867914	3.247117519	106504.4219	
0.639051646	3.43E+00	3.241462469	3.219116688	106504.6406	
0.639109588	3.44E+00	3.241371393	3.21929121	106499.1719	
0.639167427	3.45E+00	3.242096186	3.217902899	106502.8594	
0.639225278	3.47E+00	3.245945692	3.210533381	106479.6797	
0.639283144	3.48E+00	3.255241633	3.192762613	106477.9219	
0.639340979	3.49E+00	3.273117304	3.158691883	106473.8125	
0.639398854	3.50E+00	3.279391766	3.146764278	106473.2031	
0.639456782	3.52E+00	3.287423611	3.131520033	106469.2734	
0.639514703	3.53E+00	3.296998739	3.113381147	106462.9766	
0.639572493	3.54E+00	3.302301645	3.103351831	106456.9219	
0.639630416	3.55E+00	3.310573816	3.087729693	106453.6797	
0.639688292	3.57E+00	3.310554504	3.087765932	106457.4922	
0.639746184	3.58E+00	3.305058003	3.098143101	106457.1797	
0.639804048	3.59E+00	3.314249516	3.080796957	106474.3203	
0.63986191	3.60E+00	3.315027475	3.079330444	106454.2266	
0.639919709	3.62E+00	3.322216988	3.065788508	106464.7422	
0.639977617	3.63E+00	3.329641342	3.051826477	106451.3281	
0.640035534	3.64E+00	3.332500696	3.046455145	106438.5078	
