Day fraction since midnight on 	photometer (volts)	photometer (mg/L)	Source pressure (Pa)
0.673658323	1.350662828	7.90092516	106616.0391
0.673716069	1.384876132	7.789471149	106630.7266
0.673773984	1.390516162	7.771234036	106632.4375
0.673831856	1.398730755	7.744740486	106631.2422
0.673889799	1.431150079	7.640961647	106640.625
0.673947659	1.46250689	7.54174614	106629.8672
0.674005529	1.47052002	7.516572475	106660.75
0.674063388	1.500043631	7.424444199	106661.6094
0.674121236	1.497546911	7.432197571	106674.4766
0.674179063	1.535039902	7.316485882	106652.2813
0.674236917	1.552239656	7.263913631	106668.6484
0.674294897	1.566283703	7.22122097	106668.5156
0.674352717	1.586203694	7.161022663	106666.5859
0.674410552	1.590007663	7.14957428	106681.9609
0.674468422	1.611325264	7.085693836	106673.7188
0.674526342	1.626332521	7.041001797	106679.1094
0.674584166	1.643997312	6.988687992	106681.9922
0.674642106	1.647224903	6.979163647	106678.6875
0.674699939	1.673029184	6.903387547	106687.5859
0.674757822	1.689270973	6.856028557	106681.4375
0.674815645	1.699741721	6.825632572	106682.4766
0.674873617	1.723917246	6.755856037	106695.5
0.674931448	1.732789278	6.730388641	106704.25
0.674989296	1.751208186	6.677752972	106701.2422
0.67504715	1.759798884	6.653311729	106705.8047
0.675104973	1.776596546	6.605718136	106713.0156
0.675162876	1.792241573	6.561623573	106710.9688
0.67522074	1.814782977	6.498481274	106705.7813
0.675278703	1.809078455	6.514417172	106717.7422
0.675336548	1.812948227	6.503603458	106711.2656
0.675394394	1.824349999	6.471819878	106723.2031
0.675452301	1.82536149	6.469006062	106727.3125
0.675510155	1.830912232	6.453579426	106736.7188
0.675568025	1.873803258	6.335290909	106737.8594
0.675625914	1.882551074	6.311361313	106726.5703
0.675683753	1.89943099	6.2653718	106725.7422
0.675741645	1.882762909	6.310782909	106728.0156
0.675799449	1.917498469	6.216413975	106722.5156
0.675857315	1.910253048	6.236013889	106735.6406
0.675915238	1.927268982	6.190052509	106731.0391
0.675973113	1.941794992	6.151008129	106749.625
0.676030982	1.941464305	6.151895046	106741.2188
0.676088775	1.958811522	6.105490208	106744.625
0.676146722	1.962029696	6.096908569	106726.7891
0.676204546	1.962254405	6.096309662	106729.4297
0.676262444	1.977704763	6.055229664	106748.3125
0.676320344	1.947669268	6.135267735	106737.2344
0.676378186	1.980685473	6.047326565	106746.3594
0.67643603	2.006163359	5.980065823	106742.6484
0.676493889	2.028275013	5.922110081	106743.5469
0.676551736	2.034204722	5.906633377	106739.5703
0.676609695	2.053727865	5.855870724	106742.2656
0.676667577	2.055490255	5.851302624	106750.375
